kota_kabupaten,kecamatan,bed,population
Jakarta Barat,Cengkareng,0,512998
Jakarta Barat,Grogol Petamburan,528,224040
Jakarta Barat,Kalideres,463,392678
Jakarta Barat,Kebon Jeruk,684,326590
Jakarta Barat,Kembangan,155,269756
Jakarta Barat,Tamansari,55,124656
Jakarta Barat,Tambora,33,260384
Jakarta Barat,Palmerah,344,215619
Jakarta Pusat,Cempaka Putih,300,99215
Jakarta Pusat,Gambir,255,101754
Jakarta Pusat,Johar Baru,45,143120
Jakarta Pusat,Kemayoran,249,258350
Jakarta Pusat,Menteng,701,91951
Jakarta Pusat,Sawah Besar,0,135650
Jakarta Pusat,Senen,1327,128530
Jakarta Pusat,Tanah Abang,368,179946
Jakarta Selatan,Cilandak,1285,208131
Jakarta Selatan,Jagakarsa,185,320246
Jakarta Selatan,Kebayoran Baru,827,149481
Jakarta Selatan,Kebayoran Lama,121,306406
Jakarta Selatan,Mampang Prapatan,45,151674
Jakarta Selatan,Pancoran,208,161925
Jakarta Selatan,Pasar Minggu,931,305631
Jakarta Selatan,Pesanggrahan,119,239478
Jakarta Selatan,Setiabudi,745,112910
Jakarta Selatan,Tebet,174,233133
Jakarta Timur,Cakung,134,509162
Jakarta Timur,Cipayung,177,255819
Jakarta Timur,Ciracas,431,282936
Jakarta Timur,Duren Sawit,511,406954
Jakarta Timur,Jatinegara,621,310436
Jakarta Timur,Kramat Jati,1073,289699
Jakarta Timur,Makasar,0,206931
Jakarta Timur,Matraman,102,182227
Jakarta Timur,Pasar Rebo,434,211371
Jakarta Timur,Pulogadung,1331,291059
Jakarta Utara,Cilincing,193,403016
Jakarta Utara,Kelapa Gading,363,136110
Jakarta Utara,Koja,45,322356
Jakarta Utara,Pademangan,52,161187
Jakarta Utara,Penjaringan,535,298180
Jakarta Utara,Tanjung Priok,438,394732
Kepulauan Seribu,Kepulauan Seribu Utara,14,13902
