nama_rumah_sakit,jenis_rumah_sakit,alamat,kelurahan,kecamatan,kabupaten_kota,kode_pos,nomor_telepon,nomor_fax,alamat_email,alamat_website,jumlah_tempat_tidur_kelas_vvip,jumlah_tempat_tidur_kelas_vip,jumlah_tempat_tidur_kelas_eksekutif,jumlah_tempat_tidur_kelas_kelas_1,jumlah_tempat_tidur_kelas_kelas_2,jumlah_tempat_tidur_kelas_kelas_3,jumlah_tempat_tidur_kelas_perinatal,jumlah_tempat_tidur_ruang_icu,jumlah_tempat_tidur_ruang_picu,jumlah_tempat_tidur_ruang_nicu,jumlah_tempat_tidur_ruang_hcu,jumlah_tempat_tidur_ruang_iccu,jumlah_tempat_tidur_ruang_igd,jumlah_tempat_tidur_ruang_isolasi,jumlah_tempat_tidur_ruang_1_day_care,jumlah_tempat_tidur_ruang_operasi,jumlah_tempat_tidur_kamar_bersalin,jumlah_tempat_tidur_kelas_hemodialisa,jumlah_tempat_tidur_ruang_anak,jumlah_tempat_tidur_non_kelas,jumlah_tempat_tidur_lain_lain,total_tempat_tidur
Budi Kemuliaan ,Rumah Sakit Umum,Jalan  Budi Kemuliaan  Nomor 25 ,Gambir,Gambir,Jakarta Pusat,10110,(021) 3842828,(021) 3501012,rsbbudi@indo.net.id,www.rsiabudikemiaan.com,3,9,17,16,23,36,31,  ,  ,6,7,  ,15,2,  ,2,20,  ,53,  ,  ,240
Sahid Sahirman,Rumah Sakit Umum,Jl. Jenderal Sudirman Kavling 86,Karet Tengsin,Tanah Abang,Jakarta Pusat,10220,(021) 5704591 / 5703231,(021) 5705505 / 5727213,information@ssmh.co.id,www.ssmh.co.id,3,18,,6,8,  ,1,2,  ,  ,2,1,5,  ,2,3,1,3,  ,  ,  ,55
PGI Cikini,Rumah Sakit Umum,Jl. Raden Saleh No. 40 ,Cikini,Menteng,Jakarta Pusat,10330,(021) 38997777,(021) 38997778 / 31924663,mail@rscikini.com,www.rscikini.com,37,26,,54,92,80,2,10,4,  ,4,  ,11,12,4,5,2,24,34,  ,  ,401
Menteng Mitra Afia,Rumah Sakit Umum,Jl. Kali Pasir  No. 9 RT.014 / RW.010,Kebon Sirih,Menteng,Jakarta Pusat,10340,(021) 3154050,(021) 3146309,rsmmitraafia@gmail.com,,,,,,,,,,,,,,,,,,,,,,,0
Abdi Waluyo,Rumah Sakit Umum,Jalan  HOS Cokroaminoto  Nomor 31-33,Gondangdia,Menteng,Jakarta Pusat,10350,(021) 3144989,(021) 31930866,info@abdiwaluyo.com,www.abdiwaluyo.com,,6,,8,13,19,2,2,  ,  ,4,  ,5,3,  ,2,2,6,  ,  ,4,76
Bunda Jakarta,Rumah Sakit Umum,Jalan  Teuku Cik Ditiro  Nomor 21,Gondangdia,Menteng,Jakarta Pusat,10350,(021) 31923939 / 31923344,(021) 31905546,bundahospital@bunda.co.id,,,,,,,,,,,,,,,,,,,,,,,0
YPK Mandiri,Rumah Sakit Umum,Jalan  Gereja Theresia  Nomor 22,Gondangdia,Menteng,Jakarta Pusat,10350,(021) 3909725,(021) 3909806,marketing@rsiaypkmandiri.com,www.rsiaypkmandiri.com,4,13,8,2,4,12,20,  ,  ,  ,2,  ,3,1,  ,3,4,  ,  ,  ,  ,76
Kramat 128,Rumah Sakit Umum,Jalan  Kramat Raya  Nomor 128  RT.001 / RW.08,Kenari,Senen,Jakarta Pusat,10430,(021) 3909513  / 3909514,(021) 3909125,dyah.agustina.w@gmail.com ,,,,,,,,,,,,,,,,,,,,,,,0
PK. St. Carolus ,Rumah Sakit Umum,Jl. Salemba Raya No. 41,Paseban,Senen,Jakarta Pusat,10440,(021) 3904441,(021) 3103226,humas@rscarolus.or.id,www.rscarolus.or.id,11,43,,31,103,83,3,7,3,2,8,  ,9,5,  ,5,9,22,  ,  ,14,358
Moh. Husni Thamrin Salemba,Rumah Sakit Umum,Jl. Salemba Tengah 26 - 28,Paseban,Senen,Jakarta Pusat,10440,(021) 3904422 Ext.1900  /1919,(021) 3107816-2305182,info@thamrinhospital.com,www.thamrinhospital.com,3,12,7,43,43,35,3,4,2,1,22,2,6,  ,  ,2,3,7,  ,  ,  ,195
