tahun,kota_kab_adm,nama_kecamatan,jenis_kelamin,jumlah
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Utr,Laki-laki,8213
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Slt,Laki-laki,5689
2017,Jakarta Pusat,Gambir,Laki-laki,51607
2017,Jakarta Pusat,Sawah Besar,Laki-laki,68357
2017,Jakarta Pusat,Kemayoran,Laki-laki,130715
2017,Jakarta Pusat,Senen,Laki-laki,65524
2017,Jakarta Pusat,Cempaka Putih,Laki-laki,49764
2017,Jakarta Pusat,Menteng,Laki-laki,46315
2017,Jakarta Pusat,Tanah Abang,Laki-laki,91930
2017,Jakarta Pusat,Johar Baru,Laki-laki,72957
2017,Jakarta Utara,Penjaringan,Laki-laki,151691
2017,Jakarta Utara,Tanjung Priok,Laki-laki,199330
2017,Jakarta Utara,Koja,Laki-laki,163398
2017,Jakarta Utara,Cilincing,Laki-laki,203823
2017,Jakarta Utara,Pademangan,Laki-laki,82591
2017,Jakarta Utara,Kelapa Gading,Laki-laki,66939
2017,Jakarta Barat,Cengkareng,Laki-laki,261138
2017,Jakarta Barat,Grogol Petamburan,Laki-laki,112445
2017,Jakarta Barat,Taman Sari,Laki-laki,62708
2017,Jakarta Barat,Tambora,Laki-laki,133553
2017,Jakarta Barat,Kebon Jeruk,Laki-laki,164470
2017,Jakarta Barat,Kali Deres,Laki-laki,199520
2017,Jakarta Barat,Palmerah,Laki-laki,109373
2017,Jakarta Barat,Kembangan,Laki-laki,136299
2017,Jakarta Selatan,Tebet,Laki-laki,116671
2017,Jakarta Selatan,Setia Budi,Laki-laki,56689
2017,Jakarta Selatan,Mampang Prapatan,Laki-laki,77296
2017,Jakarta Selatan,Pasar Minggu,Laki-laki,154383
2017,Jakarta Selatan,Kebayoran Lama,Laki-laki,154775
2017,Jakarta Selatan,Cilandak,Laki-laki,104010
2017,Jakarta Selatan,Kebayoran Baru,Laki-laki,74849
2017,Jakarta Selatan,Pancoran,Laki-laki,81554
2017,Jakarta Selatan,Jagakarsa,Laki-laki,161660
2017,Jakarta Selatan,Pesanggrahan,Laki-laki,120535
2017,Jakarta Timur,Matraman,Laki-laki,91455
2017,Jakarta Timur,Pulo Gadung,Laki-laki,146145
2017,Jakarta Timur,Jatinegara,Laki-laki,157147
2017,Jakarta Timur,Kramat Jati,Laki-laki,146671
2017,Jakarta Timur,Pasar Rebo,Laki-laki,106905
2017,Jakarta Timur,Cakung,Laki-laki,259835
2017,Jakarta Timur,Duren Sawit,Laki-laki,204246
2017,Jakarta Timur,Makasar,Laki-laki,104562
2017,Jakarta Timur,Ciracas,Laki-laki,142897
2017,Jakarta Timur,Cipayung,Laki-laki,129664
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Utr,Perempuan,8036
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Slt,Perempuan,5653
2017,Jakarta Pusat,Gambir,Perempuan,50147
2017,Jakarta Pusat,Sawah Besar,Perempuan,67293
2017,Jakarta Pusat,Kemayoran,Perempuan,127635
2017,Jakarta Pusat,Senen,Perempuan,63006
2017,Jakarta Pusat,Cempaka Putih,Perempuan,49451
2017,Jakarta Pusat,Menteng,Perempuan,45636
2017,Jakarta Pusat,Tanah Abang,Perempuan,88016
2017,Jakarta Pusat,Johar Baru,Perempuan,70163
2017,Jakarta Utara,Penjaringan,Perempuan,146489
2017,Jakarta Utara,Tanjung Priok,Perempuan,195402
2017,Jakarta Utara,Koja,Perempuan,158958
2017,Jakarta Utara,Cilincing,Perempuan,199193
2017,Jakarta Utara,Pademangan,Perempuan,78596
2017,Jakarta Utara,Kelapa Gading,Perempuan,69171
2017,Jakarta Barat,Cengkareng,Perempuan,251860
2017,Jakarta Barat,Grogol Petamburan,Perempuan,111595
2017,Jakarta Barat,Taman Sari,Perempuan,61948
2017,Jakarta Barat,Tambora,Perempuan,126831
2017,Jakarta Barat,Kebon Jeruk,Perempuan,162120
2017,Jakarta Barat,Kali Deres,Perempuan,193158
2017,Jakarta Barat,Palmerah,Perempuan,106246
2017,Jakarta Barat,Kembangan,Perempuan,133457
2017,Jakarta Selatan,Tebet,Perempuan,116462
2017,Jakarta Selatan,Setia Budi,Perempuan,56221
2017,Jakarta Selatan,Mampang Prapatan,Perempuan,74378
2017,Jakarta Selatan,Pasar Minggu,Perempuan,151248
2017,Jakarta Selatan,Kebayoran Lama,Perempuan,151631
2017,Jakarta Selatan,Cilandak,Perempuan,104121
2017,Jakarta Selatan,Kebayoran Baru,Perempuan,74632
2017,Jakarta Selatan,Pancoran,Perempuan,80371
2017,Jakarta Selatan,Jagakarsa,Perempuan,158586
2017,Jakarta Selatan,Pesanggrahan,Perempuan,118943
2017,Jakarta Timur,Matraman,Perempuan,90772
2017,Jakarta Timur,Pulo Gadung,Perempuan,144914
2017,Jakarta Timur,Jatinegara,Perempuan,153289
2017,Jakarta Timur,Kramat Jati,Perempuan,143028
2017,Jakarta Timur,Pasar Rebo,Perempuan,104466
2017,Jakarta Timur,Cakung,Perempuan,249327
2017,Jakarta Timur,Duren Sawit,Perempuan,202708
2017,Jakarta Timur,Makasar,Perempuan,102369
2017,Jakarta Timur,Ciracas,Perempuan,140039
2017,Jakarta Timur,Cipayung,Perempuan,126155
